date,latitude,longitude,var
2018-01,60.375,-136.375,0.15785494
2018-01,60.375,-135.875,0.14997451
2018-01,60.375,-135.625,0.16396706
2018-01,60.375,-135.125,0.16553126
2018-01,60.375,-134.875,0.13709
2018-01,60.375,-133.875,0.15776429
2018-01,60.375,-133.625,0.1425425
2018-01,60.375,-133.375,0.16434333
2018-01,60.125,-162.125,0.31512204
2018-01,60.125,-161.375,0.17659879
2018-01,60.125,-161.125,0.23697288
2018-01,60.125,-160.875,0.28680763
2018-01,60.125,-160.625,0.3135623
2018-01,60.125,-160.375,0.30422184
2018-01,60.125,-158.125,0.13632415
2018-01,60.125,-157.625,0.1532206
2018-01,60.125,-157.375,0.1304979
2018-01,60.125,-156.625,0.13920099
2018-01,60.125,-151.375,0.33301708
2018-01,60.125,-148.875,0.24593274
2018-01,60.125,-148.375,0.31716636
2018-01,60.125,-144.125,0.28348607
2018-01,60.125,-143.875,0.26364878
2018-01,60.125,-143.375,0.2516581
2018-01,60.125,-138.375,0.238175
2018-01,60.125,-138.125,0.2002
2018-01,60.125,-137.875,0.1458225
2018-01,60.125,-137.625,0.14534897
2018-01,60.125,-137.375,0.13895932
2018-01,60.125,-137.125,0.12149386
2018-01,60.125,-136.875,0.14148182
2018-01,60.125,-136.625,0.14035
2018-01,60.125,-136.375,0.14180303
2018-01,60.125,-136.125,0.17237033
2018-01,60.125,-135.875,0.16625506
2018-01,60.125,-135.625,0.14197671
2018-01,60.125,-135.375,0.14547135
2018-01,60.125,-135.125,0.17440401
2018-01,60.125,-133.625,0.13841347
2018-01,60.125,-133.125,0.11112685
2018-01,59.875,-161.875,0.21878962
2018-01,59.875,-161.125,0.28172588
2018-01,59.875,-158.125,0.03727027
2018-01,59.875,-157.375,0.118758634
2018-01,59.875,-155.875,0.11704547
2018-01,59.875,-151.625,0.37350968
2018-01,59.875,-140.875,0.3131899
2018-01,59.875,-140.625,0.3139226
2018-01,59.875,-140.375,0.25827348
2018-01,59.875,-138.875,0.22325599
2018-01,59.875,-138.625,0.188838
2018-01,59.875,-138.375,0.212777
2018-01,59.875,-138.125,0.1490244
2018-01,59.875,-137.875,0.1987636
2018-01,59.875,-137.375,0.182917
2018-01,59.875,-137.125,0.13165782
2018-01,59.875,-136.875,0.1451175
2018-01,59.875,-136.625,0.14804158
2018-01,59.875,-136.375,0.15247752
2018-01,59.875,-136.125,0.15473166
2018-01,59.875,-135.875,0.16987664
2018-01,59.875,-135.625,0.1598603
2018-01,59.875,-135.375,0.17459999
2018-01,59.875,-135.125,0.18039346
2018-01,59.875,-134.875,0.17223369
2018-01,59.875,-134.625,0.1478951
2018-01,59.875,-132.625,0.118942484
2018-01,59.625,-161.625,0.28028008
2018-01,59.625,-159.625,0.3566532
2018-01,59.625,-158.375,0.0994475
2018-01,59.625,-158.125,0.15063
2018-01,59.625,-156.125,0.13619
2018-01,59.625,-154.375,0.31746802
2018-01,59.625,-154.125,0.29990524
2018-01,59.625,-153.875,0.30742484
2018-01,59.625,-151.125,0.29595518
2018-01,59.625,-139.375,0.25120857
2018-01,59.625,-139.125,0.2411909
2018-01,59.625,-138.625,0.238248
2018-01,59.625,-138.375,0.209575
2018-01,59.625,-137.625,0.14510666
2018-01,59.625,-137.375,0.161141
2018-01,59.625,-137.125,0.1896177
2018-01,59.625,-136.875,0.19784357
2018-01,59.625,-136.625,0.1909126
2018-01,59.625,-136.375,0.21423799
2018-01,59.625,-136.125,0.15426822
2018-01,59.625,-135.875,0.24102134
2018-01,59.625,-135.375,0.257814
2018-01,59.625,-135.125,0.231086
2018-01,59.625,-134.875,0.21048786
2018-01,59.625,-134.625,0.17014402
2018-01,59.375,-161.625,0.3437414
2018-01,59.375,-161.125,0.13095173
2018-01,59.375,-160.875,0.13380599
2018-01,59.375,-160.125,0.111644
2018-01,59.375,-159.875,0.13071999
2018-01,59.375,-159.375,0.07564999
2018-01,59.375,-158.125,0.1553001
2018-01,59.375,-157.875,0.13299035
2018-01,59.375,-155.125,0.35045433
2018-01,59.375,-154.875,0.32383722
2018-01,59.375,-154.125,0.31049952
2018-01,59.375,-151.625,0.31644133
2018-01,59.375,-151.375,0.31041384
2018-01,59.375,-150.875,0.313804
2018-01,59.375,-139.125,0.27217045
2018-01,59.375,-138.875,0.25825885
2018-01,59.375,-137.375,0.26853368
2018-01,59.375,-137.125,0.21549109
2018-01,59.375,-136.875,0.22178
2018-01,59.375,-136.375,0.23061898
2018-01,59.375,-136.125,0.20975453
2018-01,59.375,-135.875,0.20715775
2018-01,59.375,-135.625,0.213568
2018-01,59.375,-135.125,0.26794633
2018-01,59.375,-134.875,0.220046
2018-01,59.375,-134.625,0.18407
2018-01,59.375,-134.375,0.19347334
2018-01,59.375,-134.125,0.19755378
2018-01,59.375,-133.375,0.13025454
2018-01,59.375,-127.625,0.11077588
2018-01,59.125,-161.875,0.3534745
2018-01,59.125,-161.125,0.09336499
2018-01,59.125,-160.625,0.36661345
2018-01,59.125,-159.625,0.12448415
2018-01,59.125,-159.125,0.31506696
2018-01,59.125,-158.375,0.14185
2018-01,59.125,-158.125,0.17313364
2018-01,59.125,-157.375,0.17404795
2018-01,59.125,-156.375,0.14583519
2018-01,59.125,-155.375,0.36515558
2018-01,59.125,-136.125,0.219762
2018-01,59.125,-135.875,0.27011767
2018-01,59.125,-135.625,0.24541
2018-01,59.125,-134.875,0.22832
2018-01,59.125,-134.625,0.21390472
2018-01,59.125,-134.375,0.17955665
2018-01,59.125,-134.125,0.22421
2018-01,59.125,-133.875,0.193895
2018-01,59.125,-133.375,0.17346956
2018-01,58.875,-161.625,0.3265285
2018-01,58.875,-161.375,0.3350429
2018-01,58.875,-161.125,0.32229918
2018-01,58.875,-159.875,0.3287335
2018-01,58.875,-159.375,0.29646447
2018-01,58.875,-159.125,0.27768663
2018-01,58.875,-158.875,0.21648675
2018-01,58.875,-158.125,0.21100055
2018-01,58.875,-157.875,0.275626
2018-01,58.875,-157.625,0.2794611
2018-01,58.875,-156.875,0.22537763
2018-01,58.875,-156.625,0.26762375
2018-01,58.875,-156.375,0.26976976
2018-01,58.875,-155.875,0.18927285
2018-01,58.875,-155.375,0.3297738
2018-01,58.875,-155.125,0.3071432
2018-01,58.875,-154.875,0.29600078
2018-01,58.875,-154.625,0.268685
2018-01,58.875,-154.375,0.28472114
2018-01,58.875,-154.125,0.22643943
2018-01,58.875,-153.875,0.26147568
2018-01,58.875,-153.625,0.29218444
2018-01,58.875,-135.625,0.25617856
2018-01,58.875,-134.875,0.24219598
2018-01,58.875,-134.375,0.22793499
2018-01,58.875,-133.875,0.25627849
2018-01,58.875,-133.375,0.25872865
2018-01,58.875,-132.875,0.16625616
2018-01,58.625,-159.125,0.29396692
2018-01,58.625,-158.875,0.29581487
2018-01,58.625,-156.875,0.27487984
2018-01,58.625,-156.625,0.28605527
2018-01,58.625,-156.375,0.2945763
2018-01,58.625,-155.875,0.33437
2018-01,58.625,-155.625,0.32303047
2018-01,58.625,-155.375,0.2903952
2018-01,58.625,-154.625,0.27804986
2018-01,58.625,-135.375,0.30753
2018-01,58.625,-134.625,0.24549998
2018-01,58.625,-134.375,0.240535
2018-01,58.625,-134.125,0.230554
2018-01,58.625,-133.875,0.220328
2018-01,58.625,-133.625,0.273045
