date,latitude,longitude,sst
2018-01,-48,254,10.397407
2018-01,-48,256,10.359429
2018-01,-48,258,10.329037
2018-01,-48,260,10.31474
2018-01,-48,262,10.324857
2018-01,-48,264,10.330387
2018-01,-48,266,10.343383
2018-01,-48,268,10.331208
2018-01,-48,270,10.306856
2018-01,-48,272,10.310256
2018-01,-48,274,10.354666
2018-01,-48,276,10.434787
2018-01,-48,278,10.582235
2018-01,-48,280,10.870311
2018-01,-48,282,11.330793
2018-01,-48,284,11.84181
2018-01,-48,286,12.163692
2018-01,-48,288,
2018-01,-48,290,
2018-01,-48,292,
2018-01,-48,294,13.733171
2018-01,-48,296,13.725117
2018-01,-48,298,13.084865
2018-01,-48,300,12.123295
2018-01,-48,302,11.562447
2018-01,-48,304,11.737543
2018-01,-48,306,12.224186
2018-01,-48,308,12.503306
2018-01,-48,310,12.513475
2018-01,-48,312,12.361965
2018-01,-48,314,12.040634
2018-01,-46,100,9.795925
2018-01,-46,102,9.824301
2018-01,-46,104,9.7833805
2018-01,-46,106,9.781513
2018-01,-46,108,9.977683
2018-01,-46,110,10.225143
2018-01,-46,112,10.402572
2018-01,-46,114,10.502067
2018-01,-46,116,10.551407
2018-01,-46,118,10.584473
2018-01,-46,120,10.703976
2018-01,-46,122,10.86702
2018-01,-46,124,11.056769
2018-01,-46,126,11.223143
2018-01,-46,128,11.361421
2018-01,-46,130,11.476778
2018-01,-46,132,11.687835
2018-01,-46,134,11.961818
2018-01,-46,136,12.26804
2018-01,-46,138,12.691162
2018-01,-46,140,13.138867
2018-01,-46,142,13.536336
2018-01,-46,144,13.944483
2018-01,-46,146,14.35653
2018-01,-46,148,14.677551
2018-01,-46,150,14.721215
2018-01,-46,152,14.614256
2018-01,-46,154,14.5943165
2018-01,-46,156,14.727357
2018-01,-46,158,14.876642
2018-01,-46,160,14.995843
2018-01,-46,162,15.205725
2018-01,-46,164,15.54545
2018-01,-46,166,15.747248
2018-01,-46,168,15.495087
2018-01,-46,170,15.035348
2018-01,-46,172,14.907849
2018-01,-46,174,14.973534
2018-01,-46,176,14.942657
